image,caption,caption-ja
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .,白と茶色の犬が雪に覆われた野原を走っています。
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .,白と茶色の犬が雪面の上を走っています。
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .,帽子をかぶった男が青い帽子をかぶったスキーヤーの横に写真を飾っている。
101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow .,ある男が雪の中で絵を展示している別の男を通り過ぎる。
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .,雪の中に設置された額入り写真を見ているスキーを履いている人。
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .,スキーヤーは、木の横にある雪の中で額入り写真を見る。
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,雪の中で販売されているアートワークを見ているスキーの男
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .,崖を登る一人の人のコラージュ。
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .,ロッククライミングの壁でロッククライミングをしている人々のグループ。
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays,一人の男がビレイしながら岩を登る人々のグループ
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,別の男がロープを持って立っている間、7人の登山者が岩肌を登っています。
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,赤い服を着た男がラインを見て握っている間、数人の登山者が続けて岩を登っています。
1019077836_6fc9b15408.jpg,A brown dog chases the water from a sprinkler on a lawn .,茶色の犬が芝生のスプリンクラーから水を追いかけます。
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .,茶色の犬がホースで遊んでいます。
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose,庭のホースの近くの芝生の上を走っている茶色の犬
1019077836_6fc9b15408.jpg,A dog is playing with a hose .,犬がホースで遊んでいる。
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .,草の中のスプリンクラーから逃げる大きな茶色の犬。
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .,犬は、近くの車と一緒に野原で投げられた物を捕まえる準備をしています。
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth .,白い犬が口の中で黄色いボールを捕まえようとしている。
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow dog toy .,白い犬が黄色い犬のおもちゃを捕まえようとしている。
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air .,白い犬は、空中を飛んでいる黄色いボールを捕まえる準備ができています。
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball,黄色いボールの後を走る白い犬
1020651753_06077ec457.jpg,a black and white dog jumping in the air to get a toy .,黒と白の犬が空中を飛び跳ねておもちゃを手に入れる。
1020651753_06077ec457.jpg,A black and white dog jumps up towards a yellow toy .,黒と白の犬が黄色いおもちゃに向かってジャンプします。
1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .,犬がフィールドでボールをキャッチするために跳躍する。
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .,白い犬が草原の上で空中でボールをキャッチしようとしています。
1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .,白い犬は黄色いおもちゃを持って緑の野原で遊んでいます。
1022454332_6af2c1449a.jpg,A child and a woman are at waters edge in a big city .,子供と女性が大都市の水辺にいる。
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,一匹のアヒルが泳いでいる大きな湖で、その端に数人の人がいます。
1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .,湖でアヒルを見ている小さな男の子。
1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .,若い男の子が緑豊かな公園に囲まれた水の中のアヒルに手を振る。
1022454332_6af2c1449a.jpg,"Two people are at the edge of a lake , facing the water and the city skyline .",湖の端に二人がいて、水と街のスカイラインに面しています。
1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .","夫婦と幼児, 男性に抱かれている, ベビーカーのそばで池のそばに座っている."
1022454428_b6b660a67b.jpg,A couple sit on the grass with a baby and stroller .,赤ちゃんとベビーカーを乗せて芝生の上に座るカップル。
1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake .,生まれたばかりの赤ちゃんが湖に面した木の下に座っているカップル。
1022454428_b6b660a67b.jpg,A man and woman care for an infant along the side of a body of water .,男性と女性は、水域の側面に沿って乳児の世話をします。
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .,赤ちゃんと一緒のカップルは、ベビーカーの横に屋外に座ります。
1022975728_75515238d8.jpg,A black dog running in the surf .,サーフィンで走っている黒い犬。
1022975728_75515238d8.jpg,A black lab with tags frolicks in the water .,タグ付きの黒い実験室が水中で戯れる。
1022975728_75515238d8.jpg,A dog splashes in the water,犬が水に飛び散る
1022975728_75515238d8.jpg,The black dog runs through the water .,黒い犬が水の中を駆け抜ける。
1022975728_75515238d8.jpg,This is a black dog splashing in the water .,これは水に飛び散る黒い犬です。
102351840_323e3de834.jpg,A man drilling a hole in the ice .,氷に穴をあける男。
102351840_323e3de834.jpg,A man is drilling through the frozen ice of a pond .,男が池の凍った氷を掘っている。
102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice .,雪の中で氷に穴をあける人。
102351840_323e3de834.jpg,A person standing on a frozen lake .,凍った湖の上に立っている人。
102351840_323e3de834.jpg,Two men are ice fishing .,ふたりの男が氷釣りをしている。
1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .,茶色と白の2種類の犬がビーチで遊んでいます。
1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach .,二匹の犬が柔らかい砂浜で向きを変えている。
1024138940_f1fefbdce1.jpg,Two dogs playing in the sand at the beach .,浜辺の砂浜で遊んでいる二匹の犬。
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .,ビーチで一緒に遊んでいる二匹の犬。
1024138940_f1fefbdce1.jpg,Two large tan dogs play along a sandy beach .,二匹の大きな日焼けした犬が砂浜で遊んでいます。
102455176_5f8ead62d5.jpg,A man uses ice picks and crampons to scale ice .,男性はアイスピックとアイゼンを使って氷をスケーリングします。
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,青いジャケットと黒いズボンを着たアイスクライマーが凍った氷の壁をスケーリングしている。
102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .,凍った滝をスケーリングするアイスクライマー。
102455176_5f8ead62d5.jpg,A person in blue and red ice climbing with two picks .,青と赤のアイスクライミングを二つピックで登る人。
102455176_5f8ead62d5.jpg,Climber climbing an ice wall,氷の壁を登るクライマー
1026685415_0431cbf574.jpg,A black dog carries a green toy in his mouth as he walks through the grass .,黒い犬は、草の中を歩いているときに緑のおもちゃを口に運びます。
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .,草の中を何かを運ぶ黒い犬。
1026685415_0431cbf574.jpg,A black dog has a blue toy in its mouth .,黒い犬は口の中に青いおもちゃを持っています。
1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth .,青い物を口に入れた草の中の犬。
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .,濡れた黒い犬が草の中を緑のおもちゃを運んでいます。
1028205764_7e8df9a2ea.jpg,A man and a baby are in a yellow kayak on water .,男と赤ちゃんが水上で黄色いカヤックに乗っています。
1028205764_7e8df9a2ea.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe .,青い救命胴衣を着た男と少年が黄色いカヌーを漕いでいる。
1028205764_7e8df9a2ea.jpg,A man and child kayak through gentle waters .,穏やかな海の中を男子でカヤックします。
1028205764_7e8df9a2ea.jpg,A man and young boy ride in a yellow kayak .,黄色いカヤックに乗る男と少年。
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak,黄色いカヤックの男と子供
1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .,黒い犬と茶色の犬が赤いおもちゃを捕まえるためにジャンプしています。
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard .,黒い犬と茶色の犬が中庭で赤いおもちゃで遊んでいます。
1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .,茶色と黒の実験室が外にあり、黒い実験室は口の中でおもちゃを捕まえています。
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .,黒い犬は、茶色の犬が突進するときに赤と黒の物体にスナップします。
1030985833_b0902ea560.jpg,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,チョコレートラボは、ブラックラボが私道でそれを捕らえるので、おもちゃを手に入れるには遅すぎます。
103106960_e8a41d64f8.jpg,A boy with a stick kneeling in front of a goalie net,ゴールキーパーネットの前にひざまずく棒を持った少年
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .,ゴールを守ってストリートホッケーをしている赤いジャケットを着た子供。
103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .,ホッケーリンクでゴールキーパーをプレーしている幼い子供。
103106960_e8a41d64f8.jpg,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .,ホッケースティックを右手に持ってホッケーのゴールの前にひざまずく若い男性。
103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick .",赤いジャケットを着たホッケーのゴールキーパーの少年は、棒でゴールでしゃがみます。
103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .,黒い服を着た男性が、ガラス張りの建物の前の現代美術の建物の隣に座っています。
103195344_5d2dc613a3.jpg,A man sits and reads a newspaper by a sculpture outside of an office building .,男が座って、オフィスビルの外で彫刻のそばで新聞を読みます。
103195344_5d2dc613a3.jpg,a man sits near a large statue .,大きな像の近くに男が座っている。
103195344_5d2dc613a3.jpg,A man sitting in front of a metal sculpture in front of a building .,建物の前の金属彫刻の前に座っている男性。
103195344_5d2dc613a3.jpg,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,リュックサックを持った男は、美術彫刻の読書の前にある建物の中庭に座っている。
103205630_682ca7285b.jpg,A tent is being set up on the ice .,氷の上にテントが設置されています。
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .,雪に覆われた湖の氷釣りのテントに2人の男が入ろうとしている。
103205630_682ca7285b.jpg,two men setting up a blue ice fishing hut on an iced over lake,氷に覆われた湖に青い氷の釣り小屋を建てる二人の男
103205630_682ca7285b.jpg,"Two men , standing on an ice , looking into something covered with a blue tarp .",氷の上に立って、青い防水シートで覆われたものを見ている二人の男。
103205630_682ca7285b.jpg,Two people standing outside a blue tent structure on a snowy surface .,雪に覆われた表面の青いテント構造の外に立っている二人。
1032122270_ea6f0beedb.jpg,A woman crouches near three dogs in a field .,女性が野原で三匹の犬の近くでしゃがむ。
1032122270_ea6f0beedb.jpg,Three dogs are playing on grassy hill with a blue sky .,三匹の犬が青い空の芝生の丘で遊んでいます。
1032122270_ea6f0beedb.jpg,Three dogs are standing in the grass and a person is sitting next to them,草の中に三匹の犬が立っていて、隣に人が座っている
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill,草が茂った丘の上の三匹の犬
1032122270_ea6f0beedb.jpg,Three dogs stand in a grassy field while a person kneels nearby .,三匹の犬が草原に立っている間、人は近くにひざまずきます。
1032460886_4a598ed535.jpg,a man is standing in front of a skyscraper,男が超高層ビルの前に立っている
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .,超高層ビルの前に立っている男性。
1032460886_4a598ed535.jpg,A man stands in front of a very tall building .,ある男がとても高いビルの前に立っている。
1032460886_4a598ed535.jpg,Behind the man in a red shirt stands a large skyscraper .,赤いシャツを着た男の後ろには大きな超高層ビルが立っています。
1032460886_4a598ed535.jpg,There is a skyscraper in the distance with a man walking in front of the camera .,遠くに超高層ビルがあり、カメラの前を歩いている男性がいます。
1034276567_49bb87c51c.jpg,A boy bites hard into a treat while he sits outside .,男の子が外に座っている間、おやつに激しく噛み付く。
1034276567_49bb87c51c.jpg,A child biting into a baked good .,焼き菓子を噛む子供。
1034276567_49bb87c51c.jpg,A small boy putting something in his mouth with both hands .,両手で何かを口に入れている小さな男の子。
1034276567_49bb87c51c.jpg,The boy eats his food outside at the table .,その少年は食卓の外で食べ物を食べる。
1034276567_49bb87c51c.jpg,The boy is eating pizza over a tin dish .,その少年はブリキ皿の上でピザを食べている。
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .,人々は山腹に座って景色を眺めます。
104136873_5b5d41be75.jpg,Three people are on a hilltop overlooking a green valley .,緑の谷を見下ろす丘の上に三人がいる。
104136873_5b5d41be75.jpg,Three people hang out on top of a big hill .,三人が大きな丘の上でぶらぶらしている。
104136873_5b5d41be75.jpg,Three people overlook a green valley .,三人で緑の谷を見下ろす。
104136873_5b5d41be75.jpg,Three people rest on a ledge above the moutains .,三人が山の上にある棚で休む。
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt is looking down at many inflatable boats .,緑のシャツを着た男の子が、たくさんのインフレータブルボートを見下ろしている。
1042020065_fb3d3ba5ba.jpg,A boy in a green shirt watches kayakers .,緑のシャツを着た男の子がカヤックを見ている。
1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .,男の子が手すりを見渡して、水中の下にあるたくさんのボートやいかだを見ている。
1042020065_fb3d3ba5ba.jpg,A young boy overlooking a crowd of inflatable boats .,インフレータブルボートの群衆を見下ろす少年。
1042020065_fb3d3ba5ba.jpg,A young boy wearing a jersey looks down over a ledge at many boats in the water .,ジャージを着た少年は、水中の多くのボートで棚を見下ろす。
1042590306_95dea0916c.jpg,A man and woman pose for the camera while another man looks on .,男と女がカメラに向かってポーズをとり、別の男が見ている。
1042590306_95dea0916c.jpg,A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,ある建物の前で、ある男性が女性の手を自分の口にかざし、別の男性が見つめている。
1042590306_95dea0916c.jpg,A multiracial couple posing for a picture,写真のためにポーズをとる多民族のカップル
1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches .",屋外で手をつないでいるアジア人男性と金髪女性、バックグラウンドウォッチの男。
1042590306_95dea0916c.jpg,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches,別の男が見ている間、黒い縞模様のジャケットを着た少女の手を噛む青いシャツを着た男
1045521051_108ebc19be.jpg,A person eats takeout while watching a small television .,小さなテレビを見ながらテイクアウトを食べる人。
1045521051_108ebc19be.jpg,A person sits on the floor and eats in front of a television .,床に座ってテレビの前で食事をする人。
1045521051_108ebc19be.jpg,A television with a picture of a girl on it .,少女の写真が映っているテレビ。
1045521051_108ebc19be.jpg,A young man sits on the floor by the television with a fast food meal in front of him .,若い男がテレビのそばの床に座り、目の前でファーストフードの食事をしている。
1045521051_108ebc19be.jpg,Someone is laying in front of the TV eating food .,誰かがテレビの前に横になって食べ物を食べている。
1048710776_bb5b0a5c7c.jpg,a couple of several people sitting on a ledge overlooking the beach,ビーチを見下ろす棚に座っている数人の人々
1048710776_bb5b0a5c7c.jpg,A group of people sit on a wall at the beach .,人々のグループがビーチの壁に座っています。
1048710776_bb5b0a5c7c.jpg,A group of teens sit on a wall by a beach .,十代の若者たちのグループがビーチのそばの壁に座っています。
1048710776_bb5b0a5c7c.jpg,Crowd of people at the beach .,ビーチで大勢の人。
1048710776_bb5b0a5c7c.jpg,Several young people sitting on a rail above a crowded beach .,混雑したビーチの上のレールに座っている何人かの若者。
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .,男の子がスケートボードでジャンプし、スケートボードを持った別の男の子が見ている。
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .,子供がスケートボードのトリックをしていて、スケートボードを持った別の子供が壁にもたれかかっている。
1052358063_eae6744153.jpg,A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,小さな男の子のスケートボーダーが自分のボードでトリックをしている間、別の若いスケートボーダーが見ています。
1052358063_eae6744153.jpg,a young boy skateboarder jumping on a platform on a skateboard .,スケートボードのプラットフォームでジャンプする少年スケートボーダー。
1052358063_eae6744153.jpg,Two skateboarders .,2人のスケートボーダー。
105342180_4d4a40b47f.jpg,"A girl paddling down a large river , as seen from behind her .",後ろから見た大きな川を漕いでいる少女。
105342180_4d4a40b47f.jpg,A woman kayaking down a river .,川をカヤックで下る女性。
105342180_4d4a40b47f.jpg,A woman paddles a boat down a river .,女性が川を下るボートを漕ぐ。
105342180_4d4a40b47f.jpg,A woman with a paddle .,パドルを持った女性。
105342180_4d4a40b47f.jpg,A woman with a paddle sits in a boat on the water .,パドルを持った女性が水辺のボートに座っています。
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .,おさげ髪の少女が浅瀬に飛び散る。
1053804096_ad278b25f1.jpg,A girls plays in the surf .,女の子がサーフィンで遊ぶ。
1053804096_ad278b25f1.jpg,a girl with pigtails is playing in the ocean by the beach .,おさげ髪の少女が浜辺の海で遊んでいる。
1053804096_ad278b25f1.jpg,A girl with pigtails plays in the water .,おさげ髪の少女が水中で遊ぶ。
1053804096_ad278b25f1.jpg,A young girl in pigtails plays in the water .,おさげ髪の少女が水中で遊ぶ。
1055623002_8195a43714.jpg,A group of four children wearing pajamas have a pillow fight .,パジャマを着た4人の子供のグループが枕投げをします。
1055623002_8195a43714.jpg,A group of kids have a pillow-fight .,子供たちのグループが枕投げをします。
1055623002_8195a43714.jpg,A group of young children playing pillow fight on a bed .,ベッドで枕投げをする幼い子供たちのグループ。
1055623002_8195a43714.jpg,Children having a pillow fight .,枕投げをしている子供たち。
1055623002_8195a43714.jpg,Four children are having a pillow fight .,4人の子供が枕投げをしています。
1055753357_4fa3d8d693.jpg,Two constructions workers sit on a beam taking a break .,2人の建設作業員が休憩を取って梁の上に座っています。
1055753357_4fa3d8d693.jpg,Two construction workers are sitting up on the side of a building .,2人の建設作業員が建物の横に座っています。
1055753357_4fa3d8d693.jpg,Two construction workers sitting on an I-beam .,Iビームの上に座っている2人の建設作業員。
1055753357_4fa3d8d693.jpg,Two construction workers take a seat on a steel beam .,2人の建設作業員が鉄骨梁に座る。
1055753357_4fa3d8d693.jpg,Two men take a break from construction .,二人の男が工事を休む。
1056249424_ef2a2e041c.jpg,The children are playing in the water .,子供たちは水遊びをしている。
1056249424_ef2a2e041c.jpg,"Two boys , one with a yellow and orange ball , play in some water in front of a field .",黄色とオレンジのボールを持った2人の男の子が、フィールドの前で水遊びをしています。
1056249424_ef2a2e041c.jpg,Two boys play in a puddle .,ふたりの男の子が水たまりで遊ぶ。
1056249424_ef2a2e041c.jpg,Two children play with a balloon in mud on a sunny day .,晴れた日にはふたりの子供が泥の中で風船で遊ぶ。
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water .,2人の子供が水の中を走って遊んでいます。
1056338697_4f7d7ce270.jpg,A blond woman in a blue shirt appears to wait for a ride .,青いシャツを着た金髪の女性が乗るのを待っているように見える。
1056338697_4f7d7ce270.jpg,A blond woman is on the street hailing a taxi .,金髪の女性が路上でタクシーを呼んでいる。
1056338697_4f7d7ce270.jpg,"A woman is signaling is to traffic , as seen from behind .",女性は、後ろから見たように、交通への合図をしています。
1056338697_4f7d7ce270.jpg,A woman with blonde hair wearing a blue tube top is waving on the side of the street .,青いチューブトップを着たブロンドの髪の女性が通りの脇で手を振っています。
1056338697_4f7d7ce270.jpg,The woman in the blue dress is holding out her arm at oncoming traffic .,青いドレスを着た女性は対向車に腕を差し出している。
1056359656_662cee0814.jpg,A little girl looking at a brochure on train rides,電車に乗っているときにパンフレットを見ている少女
1056359656_662cee0814.jpg,a young blond girl with a magizine in her hands,魔術師を手にした若い金髪の女の子
1056359656_662cee0814.jpg,A young girl on a train reads a book about train rides .,電車に乗っている若い女の子が電車に乗る本を読みます。
1056359656_662cee0814.jpg,A young girl sits on a seat and looks at a train pamphlet .,若い女の子が座席に座り、電車のパンフレットを見る。
1056359656_662cee0814.jpg,Child sitting down looking at train ride brochure,電車に乗るパンフレットを見て座っている子供
1056873310_49c665eb22.jpg,A brown dog is running after a black dog on a rocky shore .,茶色の犬が岩だらけの海岸で黒い犬を追いかけている。
1056873310_49c665eb22.jpg,A brown dog is running after the black dog .,茶色の犬が黒い犬を追いかけている。
1056873310_49c665eb22.jpg,Two dogs playing on a beach .,ビーチで遊んでいる二匹の犬。
1056873310_49c665eb22.jpg,Two dogs run across stones near a body of water .,二匹の犬が水域の近くで石を横切って走る
1056873310_49c665eb22.jpg,Two dogs run towards each other on a rocky area with water in the background .,2匹の犬が岩だらけのエリアで水を背景に向かい合って走っています。
1057089366_ca83da0877.jpg,A boy descends off the end of a high diving board .,男の子がハイダイビングボードの端から降りてきます。
1057089366_ca83da0877.jpg,A child jumps off a high diving board into the pool .,子供が高いダイビングボードから飛び降りてプールに入る。
1057089366_ca83da0877.jpg,A kid jumps off the diving board and into the swimming pool below .,子供が飛び込み台から飛び降りて下のプールに入る。
1057089366_ca83da0877.jpg,A little kid is jumping off a high dive at the pool .,小さな子供がプールでハイダイブから飛び降りている。
